         84298311 function calls (84271918 primitive calls) in 78.872 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
      334    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(all)
      698    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(amax)
      693    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(amin)
      805    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(any)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
      181    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(around)
       53    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_1d)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_2d)
       20    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_3d)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(average)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(bincount)
      143    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(broadcast_arrays)
      252    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
       40    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(clip)
      163    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(column_stack)
      766    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(concatenate)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
       38    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(cumsum)
      146    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(diff)
     1447    0.002    0.000    0.036    0.000 <__array_function__ internals>:2(dot)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(histogram)
       47    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(hstack)
      412    0.001    0.000    0.020    0.000 <__array_function__ internals>:2(intersect1d)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(inv)
      113    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(isclose)
       61    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(linspace)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nanmax)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nanmin)
      146    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
       46    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(nonzero)
       40    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ptp)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel_multi_index)
      177    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
      181    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(round_)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(size)
